,Team,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,出身地,年俸(推定),投,打
304,中,208,西濵　幹紘,投手,1993/08/04,22,1,174,78,A,三重,300,右,右
305,中,210,呉屋　開斗,投手,1997/09/30,18,1,180,75,A,兵庫,300,左,左
306,中,211,石垣　幸大,投手,1996/08/08,19,2,180,76,O,三重,300,右,右
307,中,212,渡辺　勝,外野手,1993/10/14,22,1,172,80,A,神奈川,300,右,左
308,中,213,近藤　弘基,外野手,1993/02/12,23,2,179,78,A,愛知,300,右,右
309,中,215,多村　仁志,外野手,1977/03/28,39,22,180,80,B,神奈川,300,右,右
310,横,0,山崎　憲晴,内野手,1986/12/13,29,8,176,82,O,静岡,2200,右,右
311,横,00,久保　裕也,投手,1980/05/23,35,14,177,78,B,福岡,1500,右,右
312,横,1,熊原　健人,投手,1993/10/19,22,1,178,85,O,宮城,1200,右,左
313,横,2,ロペス,内野手,1983/11/24,32,4,183,103,不明,ベネズエラ,15000,右,右
314,横,3,梶谷　隆幸,外野手,1988/08/28,27,10,180,85,A,島根,8300,右,左
315,横,4,荒波　翔,外野手,1986/01/25,30,6,179,78,A,神奈川,4000,右,左
316,横,5,倉本　寿彦,内野手,1991/01/07,25,2,180,82,B,神奈川,1600,右,左
317,横,6,白崎　浩之,内野手,1990/08/20,25,4,184,89,O,北海道,2000,右,右
318,横,7,石川　雄洋,内野手,1986/07/10,29,12,183,78,O,静岡,7000,右,左
319,横,9,黒羽根　利規,捕手,1987/06/02,28,11,178,88,A,神奈川,2600,右,右
320,横,10,戸柱　恭孝,捕手,1990/04/11,25,1,178,88,A,鹿児島,950,右,左
321,横,11,山口　俊,投手,1987/07/11,28,11,187,97,O,大分,8000,右,右
322,横,12,小林　寛,投手,1989/01/21,27,6,180,87,AB,広島,1070,右,右
323,横,13,柿田　裕太,投手,1992/08/27,23,3,182,88,A,長野,1000,右,右
324,横,14,石田　健大,投手,1993/03/01,23,2,180,85,O,広島,1800,左,左
325,横,15,井納　翔一,投手,1986/05/01,29,4,188,91,A,東京,4500,右,右
326,横,16,加賀　繁,投手,1985/04/13,30,7,182,84,B,埼玉,2900,右,右
327,横,17,三嶋　一輝,投手,1990/05/07,25,4,176,80,A,福岡,2500,右,両
328,横,18,三浦　大輔,投手,1973/12/25,42,25,183,88,B,奈良,12500,右,右
329,横,19,山﨑　康晃,投手,1992/10/02,23,2,177,83,O,東京,5000,右,右
330,横,20,須田　幸太,投手,1986/07/31,29,6,176,78,AB,茨城,1900,右,右
331,横,21,今永　昇太,投手,1993/09/01,22,1,177,80,A,福岡,1500,左,左
332,横,22,高崎　健太郎,投手,1985/06/24,30,10,176,82,O,熊本,3300,右,右
333,横,23,内村　賢介,内野手,1986/03/17,30,9,163,65,B,東京,2200,右,両
334,横,24,林　昌範,投手,1983/09/19,32,15,186,80,O,千葉,4100,左,左
335,横,25,筒香　嘉智,外野手,1991/11/26,24,7,185,97,A,和歌山,10000,右,左
336,横,26,井手　正太郎,外野手,1983/10/10,32,15,179,85,O,宮崎,1250,右,右
337,横,27,久保　康友,投手,1980/08/06,35,12,180,81,B,奈良,12000,右,右
338,横,28,福地　元春,投手,1990/06/21,25,2,182,94,O,沖縄,950,左,左
339,横,30,飯塚　悟史,投手,1996/10/11,19,2,188,85,A,新潟,510,右,左
340,横,31,柴田　竜拓,内野手,1993/12/16,22,1,167,68,O,岡山,1000,右,左
341,横,32,髙城　俊人,捕手,1993/05/03,22,5,176,86,AB,福岡,1300,右,右
342,横,33,乙坂　智,外野手,1994/01/06,22,5,182,83,O,神奈川,1050,右,左
343,横,34,平田　真吾,投手,1989/08/29,26,3,182,80,A,山口,1300,右,右
344,横,35,三上　朋也,投手,1989/04/10,26,3,190,90,AB,岐阜,3000,右,右
345,横,36,柳田　殖生,内野手,1982/03/31,33,11,180,85,A,兵庫,1100,右,右
346,横,37,桑原　将志,外野手,1993/07/21,22,5,174,78,B,大阪,1300,右,右
347,横,38,山下　幸輝,内野手,1993/01/31,23,2,173,72,B,千葉,840,右,左
348,横,39,嶺井　博希,捕手,1991/06/04,24,3,175,85,B,沖縄,1500,右,両
349,横,40,飛雄馬,内野手,1991/03/17,25,5,181,88,B,大阪,1050,右,右
350,横,41,大原　慎司,投手,1985/06/30,30,6,174,66,A,茨城,2900,左,左
351,横,43,安部　建輝,投手,1986/09/03,29,4,178,85,O,大阪,800,右,右
352,横,44,渡邊　雄貴,外野手,1993/04/09,22,5,180,79,O,岡山,550,右,右
353,横,45,綾部　翔,投手,1997/04/25,18,1,189,90,O,茨城,550,右,右
354,横,46,田中　健二朗,投手,1989/09/18,26,9,179,75,B,愛知,1800,左,左
355,横,47,砂田　毅樹,投手,1995/07/20,20,3,179,75,B,北海道,1300,左,左
356,横,48,山下　峻,投手,1991/08/19,24,3,182,80,A,広島,670,左,左
357,横,49,モスコーソ,投手,1983/11/14,32,3,185,91,不明,ベネズエラ,13000,右,右
358,横,50,下園　辰哉,外野手,1984/11/22,31,10,179,81,B,宮崎,2300,左,左
359,横,51,宮﨑　敏郎,内野手,1988/12/12,27,4,172,85,B,佐賀,1200,右,右
360,横,52,ロマック,内野手,1985/09/30,30,1,188,100,不明,カナダ,7500,右,右
361,横,53,エレラ,投手,1981/04/28,34,2,188,98,不明,キューバ,2925,右,右
362,横,54,小杉　陽太,投手,1985/12/08,30,8,187,78,O,東京,1200,右,右
363,横,55,後藤Ｇ武敏,内野手,1980/06/05,35,14,176,84,A,静岡,2200,右,右
364,横,56,長田　秀一郎,投手,1980/05/06,35,14,179,80,O,神奈川,4500,右,右
365,横,57,青柳　昴樹,外野手,1997/05/19,18,1,182,84,A,大阪,500,右,右
366,横,58,野川　拓斗,投手,1991/09/06,24,1,170,73,B,埼玉,800,左,左
367,横,60,白根　尚貴,内野手,1993/04/28,22,5,186,90,A,島根,450,右,右
368,横,61,松本　啓二朗,外野手,1986/06/24,29,8,182,85,O,千葉,1500,左,左
369,横,62,萬谷　康平,投手,1987/08/28,28,3,185,78,B,大阪,800,右,左
370,横,63,関根　大気,外野手,1995/06/28,20,3,173,80,A,愛知,1050,左,左
371,横,64,百瀬　大騎,内野手,1997/03/11,19,2,175,70,A,長野,510,右,左
372,横,65,国吉　佑樹,投手,1991/09/24,24,7,196,100,A,大阪,2400,右,右
373,横,66,西森　将司,捕手,1987/12/29,28,5,182,80,A,京都,610,右,両
374,横,67,ペトリック,投手,1989/07/29,26,1,191,88,不明,アメリカ,5000,右,右
375,横,100,網谷　圭将,捕手,1997/10/03,18,1,183,83,O,千葉,360,右,右
376,横,101,山本　武白志,内野手,1998/02/17,18,1,188,92,A,神奈川,360,右,右
377,横,102,亀井　塔生,捕手,1997/02/19,19,2,180,75,O,京都,360,右,右
378,横,103,田村　丈,投手,1992/11/20,23,1,185,86,不明,兵庫,360,右,右
379,ヤ,0,比屋根　渉,外野手,1987/06/20,28,5,180,70,O,沖縄,2000,右,右
380,ヤ,1,山田　哲人,内野手,1992/07/16,23,6,180,76,O,兵庫,22000,右,右
381,ヤ,2,大引　啓次,内野手,1984/06/29,31,10,178,84,A,大阪,7000,右,右
382,ヤ,3,西浦　直亨,内野手,1991/04/11,24,3,178,75,B,奈良,1250,右,右
383,ヤ,4,バレンティン,外野手,1984/07/02,31,6,185,100,不明,アンティル,36000,右,右
384,ヤ,5,川端　慎吾,内野手,1987/10/16,28,11,185,86,O,大阪,16000,右,左
385,ヤ,7,田中　浩康,内野手,1982/05/24,33,12,177,77,O,京都,6500,右,右
386,ヤ,8,武内　晋一,内野手,1983/12/10,32,11,175,90,O,兵庫,1900,左,左
387,ヤ,9,飯原　誉士,外野手,1983/04/26,32,11,181,88,O,栃木,2700,右,右
388,ヤ,10,森岡　良介,内野手,1984/07/15,31,14,174,71,A,大阪,3200,右,左
389,ヤ,12,石山　泰稚,投手,1988/09/01,27,4,182,75,A,秋田,4100,右,右
390,ヤ,13,ペレス,投手,1985/01/20,31,1,183,97,不明,ドミニカ共和国,5400,左,左
391,ヤ,14,秋吉　亮,投手,1989/03/21,27,3,182,73,A,東京,6800,右,右
392,ヤ,16,原　樹理,投手,1993/07/19,22,1,180,79,A,兵庫,1500,右,右
393,ヤ,17,成瀬　善久,投手,1985/10/13,30,13,180,87,AB,栃木,14400,左,左
394,ヤ,18,杉浦　稔大,投手,1992/02/25,24,3,189,86,A,北海道,1700,右,右
395,ヤ,19,石川　雅規,投手,1980/01/22,36,15,167,73,A,秋田,20000,左,左
396,ヤ,20,山本　哲哉,投手,1985/09/04,30,7,179,77,A,和歌山,3500,右,右
397,ヤ,21,松岡　健一,投手,1982/06/07,33,12,181,85,AB,熊本,3600,右,右
398,ヤ,22,竹下　真吾,投手,1990/10/20,25,2,180,82,AB,福岡,1400,左,左
399,ヤ,24,荒木　貴裕,内野手,1987/07/26,28,7,180,84,AB,富山,2000,右,右
400,ヤ,25,館山　昌平,投手,1981/03/17,35,14,181,98,O,神奈川,12000,右,右
401,ヤ,26,久古　健太郎,投手,1986/05/16,29,6,181,82,A,東京,3000,左,左
402,ヤ,28,田中　雅彦,捕手,1982/01/09,34,13,175,78,A,大阪,1800,右,右
403,ヤ,29,小川　泰弘,投手,1990/05/16,25,4,171,80,A,愛知,10000,右,右
404,ヤ,30,西田　明央,捕手,1992/04/28,23,6,178,83,AB,京都,860,右,右
405,ヤ,31,山崎　晃大朗,外野手,1993/08/11,22,1,173,68,O,和歌山,800,左,左
406,ヤ,32,風張　蓮,投手,1993/02/26,23,2,182,88,AB,岩手,1100,右,右
407,ヤ,33,畠山　和洋,内野手,1982/09/13,33,16,180,96,O,岩手,13000,右,右
408,ヤ,34,デイビーズ,投手,1983/09/09,32,1,186,95,不明,アメリカ,7200,右,右
409,ヤ,35,田川　賢吾,投手,1994/05/22,21,4,189,79,O,大阪,560,右,左
410,ヤ,36,廣岡　大志,内野手,1997/04/09,18,1,183,81,O,大阪,600,右,右
411,ヤ,37,星野　雄大,捕手,1988/10/19,27,4,177,80,B,岡山,760,右,右
412,ヤ,38,寺田　哲也,投手,1987/04/02,28,2,183,92,O,栃木,950,右,右
413,ヤ,39,中元　勇作,投手,1988/12/12,27,2,178,74,B,広島,790,左,左
414,ヤ,40,古野　正人,投手,1986/09/27,29,5,178,80,A,兵庫,1800,右,右
415,ヤ,41,雄平,外野手,1984/06/25,31,14,174,83,A,神奈川,6500,左,左
416,ヤ,42,坂口　智隆,外野手,1984/07/07,31,14,181,82,O,兵庫,3000,右,左
417,ヤ,43,村中　恭兵,投手,1987/10/25,28,11,188,88,B,神奈川,2400,左,左
418,ヤ,44,岩橋　慶侍,投手,1991/04/23,24,3,185,84,AB,京都,950,左,左
419,ヤ,45,土肥　寛昌,投手,1990/11/16,25,2,181,88,O,埼玉,790,右,両
420,ヤ,46,谷内　亮太,内野手,1991/02/03,25,4,177,79,B,石川,1050,右,右
421,ヤ,47,高橋　奎二,投手,1997/05/14,18,1,178,73,O,京都,600,左,左
422,ヤ,48,ジュリアス,投手,1997/05/25,18,1,183,76,B,沖縄,500,左,左
423,ヤ,49,渡邉　大樹,内野手,1997/06/07,18,1,182,87,O,千葉,500,右,右
424,ヤ,50,上田　剛史,外野手,1988/10/02,27,10,180,73,B,岡山,2500,右,左
425,ヤ,51,藤井　亮太,捕手,1988/09/30,27,3,176,73,A,兵庫,750,右,左
426,ヤ,52,中村　悠平,捕手,1990/06/17,25,8,176,83,A,福井,6700,右,右
427,ヤ,53,ルーキ,投手,1984/12/05,31,1,193,102,不明,アメリカ,3600,右,右
428,ヤ,54,中澤　雅人,投手,1985/02/16,31,7,179,80,AB,富山,2160,左,左
429,ヤ,55,山川　晃司,捕手,1996/11/15,19,2,184,87,A,福岡,630,右,右
430,ヤ,56,奥村　展征,内野手,1995/05/26,20,3,178,76,O,滋賀,550,右,左
431,ヤ,57,松井　淳,外野手,1987/11/27,28,7,177,88,O,神奈川,890,右,左
432,ヤ,58,オンドルセク,投手,1985/02/13,31,2,203,104,不明,アメリカ,22000,右,右
433,ヤ,59,今浪　隆博,内野手,1984/07/06,31,10,172,75,A,福岡,1950,右,左
434,ヤ,60,三輪　正義,内野手,1984/01/23,32,9,168,70,A,山口,2000,右,左
435,ヤ,61,児山　祐斗,投手,1995/09/01,20,3,180,85,A,岡山,550,左,左
436,ヤ,62,徳山　武陽,投手,1989/07/21,26,5,185,84,A,兵庫,1580,右,両
437,ヤ,63,井野　卓,捕手,1983/11/23,32,11,178,83,B,群馬,770,右,右
438,ヤ,64,木谷　良平,投手,1989/04/07,26,5,181,85,A,福岡,1260,右,右
439,ヤ,65,原　泉,外野手,1992/07/26,23,2,190,100,A,鹿児島,720,右,右
440,ヤ,66,新垣　渚,投手,1980/05/09,35,14,190,83,O,沖縄,2800,右,右
441,ヤ,68,山中　浩史,投手,1985/09/09,30,4,175,82,O,熊本,2200,右,右
442,ヤ,69,川上　竜平,外野手,1993/05/08,22,5,181,80,A,沖縄,580,右,右
443,ヤ,70,八木　亮祐,投手,1990/09/29,25,8,180,73,O,愛知,2000,左,左
444,ヤ,91,鵜久森　淳志,外野手,1987/02/01,29,12,189,85,O,愛媛,750,右,右
445,ヤ,111,中島　彰吾,投手,1992/06/15,23,2,178,80,A,福岡,370,右,右
446,ヤ,121,由規,投手,1989/12/05,26,9,179,80,A,宮城,1500,右,左
447,ヤ,167,平井　諒,投手,1991/04/23,24,7,184,78,O,和歌山,500,右,右
